priority	sample	condition	pair_name	r1_filename	r1_bytes	r1_url	r2_filename	r2_bytes	r2_url	combined_bytes
1	G_2	ESC	G_ESC_2_T_IGO_14361_B_14_S58_L004	G_ESC_2_T_IGO_14361_B_14_S58_L004_R1_001.fastq.gz	7093286997	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161279/G_ESC_2_T_IGO_14361_B_14_S58_L004_R1_001.fastq.gz	G_ESC_2_T_IGO_14361_B_14_S58_L004_R2_001.fastq.gz	15640187794	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161279/G_ESC_2_T_IGO_14361_B_14_S58_L004_R2_001.fastq.gz	22733474791
2	I	PFG	I_PFG_T_IGO_14361_B_9_S10_L001	I_PFG_T_IGO_14361_B_9_S10_L001_R1_001.fastq.gz	4061799732	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161291/I_PFG_T_IGO_14361_B_9_S10_L001_R1_001.fastq.gz	I_PFG_T_IGO_14361_B_9_S10_L001_R2_001.fastq.gz	8998470845	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161291/I_PFG_T_IGO_14361_B_9_S10_L001_R2_001.fastq.gz	13060270577
3	I	PFG	I_PFG_T_IGO_14361_B_9_S10_L002	I_PFG_T_IGO_14361_B_9_S10_L002_R1_001.fastq.gz	4046138551	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161292/I_PFG_T_IGO_14361_B_9_S10_L002_R1_001.fastq.gz	I_PFG_T_IGO_14361_B_9_S10_L002_R2_001.fastq.gz	8959033251	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161292/I_PFG_T_IGO_14361_B_9_S10_L002_R2_001.fastq.gz	13005171802
4	I	PFG	I_PFG_T_IGO_14361_B_9_S10_L003	I_PFG_T_IGO_14361_B_9_S10_L003_R1_001.fastq.gz	4046044089	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161293/I_PFG_T_IGO_14361_B_9_S10_L003_R1_001.fastq.gz	I_PFG_T_IGO_14361_B_9_S10_L003_R2_001.fastq.gz	8951988947	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161293/I_PFG_T_IGO_14361_B_9_S10_L003_R2_001.fastq.gz	12998033036
5	H	DE	H_DE_T_IGO_14361_B_8_S9_L002	H_DE_T_IGO_14361_B_8_S9_L002_R1_001.fastq.gz	3399455321	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161285/H_DE_T_IGO_14361_B_8_S9_L002_R1_001.fastq.gz	H_DE_T_IGO_14361_B_8_S9_L002_R2_001.fastq.gz	7439855975	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161285/H_DE_T_IGO_14361_B_8_S9_L002_R2_001.fastq.gz	10839311296
6	H	DE	H_DE_T_IGO_14361_B_8_S9_L003	H_DE_T_IGO_14361_B_8_S9_L003_R1_001.fastq.gz	3403456918	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161286/H_DE_T_IGO_14361_B_8_S9_L003_R1_001.fastq.gz	H_DE_T_IGO_14361_B_8_S9_L003_R2_001.fastq.gz	7434476118	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161286/H_DE_T_IGO_14361_B_8_S9_L003_R2_001.fastq.gz	10837933036
7	H	DE	H_DE_T_IGO_14361_B_8_S9_L001	H_DE_T_IGO_14361_B_8_S9_L001_R1_001.fastq.gz	3292605433	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161284/H_DE_T_IGO_14361_B_8_S9_L001_R1_001.fastq.gz	H_DE_T_IGO_14361_B_8_S9_L001_R2_001.fastq.gz	7209746614	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161284/H_DE_T_IGO_14361_B_8_S9_L001_R2_001.fastq.gz	10502352047
8	L_1	3DEC	L_3DEC_1_T_IGO_14361_B_12_S13_L002	L_3DEC_1_T_IGO_14361_B_12_S13_L002_R1_001.fastq.gz	3189922756	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161308/L_3DEC_1_T_IGO_14361_B_12_S13_L002_R1_001.fastq.gz	L_3DEC_1_T_IGO_14361_B_12_S13_L002_R2_001.fastq.gz	6889621204	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161308/L_3DEC_1_T_IGO_14361_B_12_S13_L002_R2_001.fastq.gz	10079543960
9	L_1	3DEC	L_3DEC_1_T_IGO_14361_B_12_S13_L003	L_3DEC_1_T_IGO_14361_B_12_S13_L003_R1_001.fastq.gz	3188117613	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161309/L_3DEC_1_T_IGO_14361_B_12_S13_L003_R1_001.fastq.gz	L_3DEC_1_T_IGO_14361_B_12_S13_L003_R2_001.fastq.gz	6871304640	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161309/L_3DEC_1_T_IGO_14361_B_12_S13_L003_R2_001.fastq.gz	10059422253
10	D	WT	D_WT_T_IGO_14361_B_4_S5_L002	D_WT_T_IGO_14361_B_4_S5_L002_R1_001.fastq.gz	3159104215	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161241/D_WT_T_IGO_14361_B_4_S5_L002_R1_001.fastq.gz	D_WT_T_IGO_14361_B_4_S5_L002_R2_001.fastq.gz	6871395910	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161241/D_WT_T_IGO_14361_B_4_S5_L002_R2_001.fastq.gz	10030500125
